	MF.alv.Lu#2	MF.alv.Lu#3	MF.alv.Lu.KPd28#1	MF.alv.Lu.KPd28#2	MF.alv.Lu.KPd17#1	MF.alv.Lu.KPd28#3
Rbms2	66	83	113	19	71	31
Rbms3	3	13	8	5	3	10
Rbmx	161	213	251	109	143	121
Rbmx2	13	27	23	8	20	17
Rbmxl1	53	72	60	31	39	21
Rbmxl2	0	0	0	0	0	0
Rbmy1a1	0	0	0	0	0	0
Rbp1	0	0	0	0	0	1
Rbp2	0	0	0	0	1	1
Rbp3	0	0	2	0	2	0
Rbp4	3	0	3	0	0	2
Rbp7	0	0	1	0	1	0
Rbpj	45	48	58	23	36	37
Rbpjl	0	0	0	0	0	0
Rbpms	20	72	70	27	21	16
Rbpms2	0	2	0	0	0	1
Rbsn	89	118	153	56	96	55
Rbx1	148	282	260	100	151	149
Rc3h1	189	321	334	132	253	147
Rc3h2	217	246	285	124	207	191
Rcan1	20	31	73	18	44	35
Rcan2	3	3	0	0	3	1
Rcan3	141	152	164	68	106	73
Rcbtb1	37	41	51	40	9	27
Rcbtb2	373	532	575	252	363	201
Rcc1	86	147	105	38	71	69
Rcc1l	35	33	70	29	43	15
Rcc2	60	79	62	37	46	100
Rccd1	6	20	5	8	6	8
Rce1	132	174	142	87	105	92
Rchy1	179	222	215	105	148	117
Rcl1	136	167	170	82	122	66
Rcn1	2	1	3	1	0	3
Rcn2	146	194	214	109	149	99
Rcn3	13	22	10	5	10	7
Rcor1	64	101	77	44	62	97
Rcor2	1	1	1	0	1	0
Rcor3	63	62	50	26	48	40
Rcsd1	5	3	2	1	2	2
Rcvrn	0	0	0	0	1	1
Rd3	0	0	0	0	0	0
Rd3l	1	0	0	0	2	0
Rdh1	2	1	2	0	0	1
Rdh10	7	9	23	9	12	13
Rdh11	47	95	103	35	64	33
Rdh12	2	4	6	0	2	2
Rdh13	62	83	132	58	53	71
Rdh14	86	121	130	63	74	76
Rdh16	1	1	0	0	5	2
Rdh16f1	0	0	0	0	0	0
Rdh16f2	0	0	2	0	0	2
Rdh19	0	0	2	0	2	1
Rdh5	9	6	6	5	9	2
Rdh7	0	1	0	0	0	2
Rdh8	1	0	0	0	0	0
Rdh9	0	0	0	0	0	1
Rdm1	86	146	133	43	72	57
Rdx	326	437	448	208	324	223
Rec114	2	9	6	7	6	4
Rec8	0	0	0	1	1	0
Reck	0	3	9	1	2	8
Recql	127	83	156	46	74	47
Recql4	13	14	12	4	11	5
Recql5	84	120	109	57	76	54
Reep1	1	4	0	2	0	0
Reep2	1	3	2	0	0	0
Reep3	386	560	538	172	380	232
Reep4	207	282	243	87	162	99
Reep5	3774	5732	4923	1751	3487	1725
Reep6	3	1	2	3	3	1
Reg1	0	0	0	0	0	5
Reg2	0	0	2	1	0	1
Reg3a	0	1	0	0	0	2
Reg3b	0	0	1	0	1	0
Reg3d	0	1	1	0	0	1
Reg3g	3	0	6	0	1	5
Reg4	3	0	0	0	0	0
Rel	253	296	659	186	254	165
Rela	293	386	384	150	205	149
Relb	83	75	88	35	74	41
Rell1	32	29	66	48	45	35
Rell2	1	0	0	0	0	0
Reln	12	3	12	4	12	6
Relt	189	215	263	150	115	125
Rem1	41	80	80	20	46	37
Rem2	0	0	2	0	1	0
Ren1	0	0	0	0	0	0
Renbp	744	1087	926	432	666	507
Rep15	0	0	2	0	0	0
Repin1	24	47	67	19	25	18
Reps1	24	49	37	21	17	27
Reps2	155	147	182	69	123	96
Rer1	598	840	755	308	576	396
Rere	28	46	46	12	30	20
Rerg	0	3	3	0	6	3
Rergl	0	0	0	0	0	0
Resp18	0	0	0	0	0	0
Rest	75	148	185	86	98	113
Ret	2	1	2	0	2	6
Retn	0	1	3	0	2	4
Retnla	0	1	2	0	0	2
Retnlb	0	1	0	0	0	0
Retnlg	3	0	12	0	1	0
Retreg2	124	190	164	69	110	166
Retreg3	105	159	115	72	116	63
Retsat	50	45	53	22	40	17
Rev1	31	33	37	10	18	20
Rev3l	46	77	71	31	48	39
Rex1bd	117	226	203	94	106	148
Rex2	0	0	0	0	1	0
Rexo1	116	202	180	77	128	70
Rexo2	930	1468	1260	445	889	611
Rexo4	129	142	194	56	106	97
Rexo5	89	80	84	47	65	58
Rfc1	163	168	190	81	153	134
Rfc2	138	205	170	112	119	99
Rfc3	46	113	87	41	39	56
Rfc4	31	57	49	9	23	35
Rfc5	68	102	102	49	55	41
Rfesd	63	60	74	19	59	50
Rffl	156	170	173	93	130	78
Rfk	259	304	383	154	278	129
Rflna	21	18	8	4	9	6
Rflnb	0	0	4	0	0	1
Rfng	58	78	79	44	68	42
Rfpl4	0	0	0	1	1	1
Rfpl4b	0	0	0	4	2	1
Rft1	71	73	107	69	66	42
Rftn1	557	604	756	276	514	258
Rftn2	5	8	4	3	5	1
Rfwd3	77	130	124	39	65	57
Rfx1	30	48	39	27	24	20
Rfx2	35	74	50	20	68	5
Rfx3	24	13	18	4	9	11
Rfx4	1	1	0	0	0	4
Rfx5	10	20	29	21	17	8
Rfx6	3	3	3	0	2	3
Rfx7	75	110	112	55	59	75
Rfx8	1	0	1	0	0	0
Rfxank	34	53	40	15	28	21
Rfxap	10	22	19	12	7	11
Rgcc	70	120	290	171	30	120
Rgl1	157	172	152	86	117	80
Rgl2	237	324	332	101	196	164
Rgl3	16	35	25	16	25	14
Rgma	1	1	0	0	1	3
Rgmb	39	51	99	28	66	41
Rgn	0	1	2	1	0	2
Rgp1	39	68	71	37	45	57
Rgr	1	0	1	1	2	1
Rgs1	324	565	2278	347	400	254
Rgs10	70	118	82	36	45	52
Rgs11	2	4	7	3	7	5
Rgs12	1	6	11	0	1	1
Rgs13	0	1	0	1	0	2
Rgs14	199	241	211	72	138	75
Rgs16	0	1	1	0	0	0
Rgs17	0	7	9	0	3	4
Rgs18	4	3	0	0	0	2
Rgs19	696	932	862	382	657	328
Rgs2	893	638	954	237	754	414
Rgs20	1	1	0	1	0	1
Rgs21	3	1	0	1	3	4
Rgs22	2	6	4	1	3	4
Rgs3	6	12	8	13	7	10
Rgs4	6	0	0	2	2	0
Rgs5	0	1	2	0	0	2
Rgs6	4	2	1	1	1	7
Rgs7	3	3	0	2	0	3
Rgs7bp	1	6	3	0	4	1
Rgs8	5	0	4	2	2	1
Rgs9	1	1	1	0	0	3
Rgs9bp	0	0	0	0	0	1
Rgsl1	1	3	2	1	2	2
Rhag	1	0	2	0	0	0
Rhbdd1	214	260	274	92	175	71
Rhbdd2	82	77	87	39	56	38
Rhbdd3	48	52	72	37	49	32
Rhbdf1	16	10	15	4	10	12
Rhbdf2	218	261	296	149	183	139
Rhbdl1	0	0	0	0	0	0
Rhbdl2	0	0	0	4	0	0
Rhbdl3	0	0	3	2	4	9
Rhbg	0	0	0	1	0	1
Rhcg	1	1	0	0	0	0
Rhd	1	4	1	0	2	1
Rheb	431	579	660	278	401	311
Rhebl1	13	18	15	4	11	3
Rhno1	29	33	25	14	20	27
Rho	2	1	1	0	2	4
Rhoa	2035	3452	2501	1130	1875	814
Rhob	42	50	93	27	36	38
Rhobtb1	3	1	0	1	0	1
Rhobtb2	14	14	21	2	5	13
Rhobtb3	5	4	0	2	4	5
Rhoc	267	435	422	158	281	189
Rhod	1	1	0	0	2	1
Rhof	204	248	229	82	143	50
Rhog	977	1426	1148	462	856	439
Rhoh	151	181	138	43	108	36
Rhoj	1	3	1	0	2	11
Rhoq	91	126	96	89	90	155
Rhot1	449	507	592	248	470	197
Rhot2	19	24	14	13	18	21
Rhou	1	0	0	0	1	1
Rhov	3	9	9	9	6	18
Rhox1	0	1	0	0	0	0
Rhox10	0	0	1	0	0	0
Rhox11	0	0	1	0	0	0
Rhox12	0	1	0	0	0	0
Rhox13	0	0	0	0	0	0
Rhox2a	0	0	0	0	0	0
Rhox2b	0	0	0	0	0	0
Rhox2c	0	0	0	0	0	0
Rhox2d	1	0	0	0	0	0
Rhox2e	0	0	0	0	0	0
Rhox2f	0	0	0	0	0	0
Rhox2g	0	0	1	0	0	1
Rhox2h	0	0	0	0	0	0
Rhox3a	0	0	0	0	0	0
Rhox3a2	0	0	0	0	0	0
Rhox3c	0	1	0	0	0	0
Rhox3e	0	0	0	0	0	0
Rhox3f	0	0	1	0	0	0
Rhox3g	1	0	0	0	0	0
Rhox3h	0	0	0	0	0	2
Rhox4a	0	0	0	0	0	0
Rhox4a2	0	0	0	0	0	0
Rhox4b	0	0	0	0	0	0
Rhox4c	0	0	0	0	0	0
Rhox4d	0	0	0	0	0	0
Rhox4e	0	0	0	0	0	0
Rhox4f	0	0	0	0	0	0
Rhox4g	0	0	0	0	0	5
Rhox5	0	0	0	0	0	0
Rhox6	0	0	0	0	0	0
Rhox7a	0	0	0	0	0	0
Rhox7b	0	0	0	0	0	0
Rhox8	0	0	0	0	0	0
Rhox9	0	0	0	0	0	0
Rhpn1	1	0	1	1	0	0
Rhpn2	10	17	2	0	6	1
Ribc1	2	4	5	0	3	0
Ribc2	0	0	0	0	0	0
Ric1	211	287	294	155	202	210
Ric3	16	41	32	3	22	9
Ric8a	536	615	696	215	449	213
Ric8b	47	108	102	18	57	57
Rictor	143	151	158	86	104	122
Rida	31	61	42	20	35	24
Rif1	92	81	90	41	53	76
Riiad1	0	3	1	3	1	3
Rilp	26	33	44	12	30	26
Rilpl1	11	5	6	3	3	2
Rilpl2	163	249	351	247	143	196
Rimbp2	3	1	1	1	0	0
Rimbp3	5	1	0	0	1	5
Rimkla	0	1	0	0	0	2
Rimklb	9	0	3	0	1	5
Rims1	0	0	0	0	0	0
Rims2	2	7	4	0	2	8
Rims3	110	94	89	48	75	55
Rims4	0	0	0	0	1	2
Rin1	0	6	2	4	2	3
Rin2	1131	1230	1160	700	818	515
Rin3	352	528	493	203	280	278
Ring1	7	26	25	18	26	10
Rinl	372	471	355	109	279	102
Rint1	64	84	98	42	71	38
Riok1	161	133	186	73	114	77
Riok3	731	784	1074	575	738	478
Riox1	5	18	17	11	9	20
Riox2	118	157	113	57	121	54
Ripk1	111	209	333	98	189	137
Ripk2	94	117	177	58	107	47
Ripk3	19	55	53	30	36	16
Ripk4	0	2	0	2	2	0
Ripor1	166	189	157	60	120	77
Ripor2	21	15	14	2	11	7
Ripor3	1	1	3	0	1	3
Ripply1	0	0	0	0	0	0
Ripply2	0	1	0	0	0	3
Ripply3	0	0	0	0	1	1
Rit1	208	390	357	129	236	183
Rit2	0	2	1	0	0	3
Rita1	17	23	18	8	16	15
Rlbp1	0	0	0	0	0	1
Rlf	160	216	319	135	156	140
Rlim	812	947	1259	496	785	457
Rln1	0	0	0	1	0	0
Rln3	1	2	0	0	0	2
Rmdn1	126	183	157	79	101	85
Rmdn2	14	14	24	6	20	7
Rmdn3	83	91	105	42	80	37
Rmi1	50	36	34	27	32	22
Rmi2	3	3	6	0	3	1
Rmnd1	95	59	91	29	50	32
Rmnd5a	169	187	254	106	158	156
Rmnd5b	278	333	331	153	250	127
Rnase1	0	0	1	0	0	0
Rnase10	2	0	0	0	0	0
Rnase11	0	0	0	0	0	0
Rnase12	0	2	3	0	0	0
Rnase13	0	0	0	0	0	0
Rnase2a	9	10	7	17	3	2
Rnase2b	24	22	20	14	12	11
Rnase4	498	720	735	311	606	199
Rnase6	316	304	310	147	311	130
Rnase9	0	0	0	0	0	0
Rnaseh1	81	102	98	67	56	56
Rnaseh2a	119	177	143	66	115	83
Rnaseh2b	187	277	207	172	146	171
Rnaseh2c	52	69	66	21	33	40
Rnasek	0	1	1	0	0	0
Rnasel	208	213	288	128	167	129
Rnaset2a	23	47	34	14	13	19
Rnaset2b	20	23	24	22	30	9
Rnd1	0	6	2	5	0	15
Rnd2	3	21	7	5	6	13
Rnd3	190	269	437	45	178	61
Rnf10	278	596	585	280	346	201
Rnf103	58	46	65	25	36	71
Rnf11	51	60	88	44	56	73
Rnf111	203	315	368	133	272	181
Rnf112	1	0	2	0	1	2
Rnf113a1	5	13	4	2	3	2
Rnf113a2	74	87	83	33	52	36
Rnf114	309	491	521	181	326	197
Rnf115	218	333	459	229	223	164
Rnf121	105	123	139	56	90	66
Rnf122	6	12	7	1	7	6
Rnf123	120	120	199	57	115	46
Rnf125	2	2	3	0	4	0
Rnf126	9	16	11	6	9	14
Rnf128	46	48	103	116	38	82
Rnf13	1568	1885	2430	916	1585	777
Rnf130	125	256	189	88	115	139
Rnf133	0	0	2	0	2	0
Rnf135	64	117	103	33	62	65
Rnf138	130	159	173	80	88	63
Rnf138rt1	0	0	0	0	1	0
Rnf139	77	113	127	51	94	46
Rnf14	234	238	293	173	212	125
Rnf141	126	165	206	85	130	106
Rnf144a	0	1	7	1	3	1
Rnf144b	87	114	125	35	72	54
Rnf145	48	112	157	40	97	46
Rnf146	29	76	83	28	47	40
