	Mo.Ly6C-.Lu#1	Mo.Ly6C-.Lu#2	Mo.Ly6C-.Lu#3	Mo.Ly6C-.Lu.KPd17#1	Mo.Ly6C-.Lu.KPd17#2	Mo.Ly6C-.Lu.KPd28#1	Mo.Ly6C-.Lu.KPd28#2	Mo.Ly6C-.Lu.KPd28#3
1700056E22Rik	3	1	4	1	4	2	2	2
1700057G04Rik	3	1	8	10	4	0	1	2
1700061G19Rik	14	13	7	5	12	18	11	5
1700064H15Rik	1	4	1	0	0	2	1	0
1700066B19Rik	8	9	5	2	3	2	1	1
1700066M21Rik	113	107	135	117	76	94	68	63
1700067K01Rik	3	12	8	10	5	5	0	3
1700067P10Rik	0	0	1	0	0	0	0	0
1700069L16Rik	1	2	4	2	0	1	0	0
1700074P13Rik	0	2	3	0	4	0	0	0
1700080E11Rik	0	0	0	0	0	0	0	0
1700080O16Rik	0	2	5	5	0	0	0	0
1700084M14Rik	0	0	0	0	2	0	0	0
1700086D15Rik	4	0	1	2	0	0	1	0
1700088E04Rik	2	3	0	3	2	1	2	2
1700092M07Rik	0	0	0	0	0	0	0	1
1700093K21Rik	5	1	5	9	0	0	2	0
1700102P08Rik	6	18	5	7	8	23	0	0
1700109H08Rik	44	57	64	61	31	42	35	15
1700113H08Rik	2	0	2	1	0	4	1	0
1700122O11Rik	0	2	0	0	0	0	0	0
1700123K08Rik	0	0	4	2	0	0	0	0
1700123L14Rik	0	0	0	1	0	0	0	1
